Dual_Attn_1_-1_6
(2.9274637699127197, 1.0578151941299438)
Prepare Data : 8.548205 s
Epoch 76 : Train MSE : 0.918694, Train MAE : 0.678356 , Test MSE : 1.469014 , Test MAE : 0.787094 , Lr : 0.000250 , Time: 95.534326 s .
Epoch 77 : Train MSE : 0.912878, Train MAE : 0.675563 , Test MSE : 1.462650 , Test MAE : 0.783229 , Lr : 0.000250 , Time: 91.863388 s .
Epoch 78 : Train MSE : 0.918203, Train MAE : 0.682485 , Test MSE : 1.467959 , Test MAE : 0.792921 , Lr : 0.000250 , Time: 99.325479 s .
Epoch 79 : Train MSE : 0.922638, Train MAE : 0.676858 , Test MSE : 1.462228 , Test MAE : 0.782789 , Lr : 0.000250 , Time: 88.154804 s .
Epoch 80 : Train MSE : 0.906497, Train MAE : 0.673958 , Test MSE : 1.468317 , Test MAE : 0.783745 , Lr : 0.000250 , Time: 89.774970 s .
Epoch 81 : Train MSE : 0.919007, Train MAE : 0.681657 , Test MSE : 1.480569 , Test MAE : 0.790596 , Lr : 0.000250 , Time: 90.739339 s .
Epoch 82 : Train MSE : 0.891786, Train MAE : 0.665946 , Test MSE : 1.439641 , Test MAE : 0.774248 , Lr : 0.000250 , Time: 93.331476 s .
Epoch 83 : Train MSE : 0.912741, Train MAE : 0.678735 , Test MSE : 1.464763 , Test MAE : 0.786124 , Lr : 0.000250 , Time: 90.491215 s .
Epoch 84 : Train MSE : 0.904302, Train MAE : 0.671635 , Test MSE : 1.461934 , Test MAE : 0.783681 , Lr : 0.000250 , Time: 89.540990 s .
Epoch 85 : Train MSE : 0.894030, Train MAE : 0.669090 , Test MSE : 1.454581 , Test MAE : 0.780128 , Lr : 0.000250 , Time: 89.614695 s .
Epoch 86 : Train MSE : 0.912120, Train MAE : 0.675898 , Test MSE : 1.476175 , Test MAE : 0.791013 , Lr : 0.000250 , Time: 92.560101 s .
Epoch 87 : Train MSE : 0.881594, Train MAE : 0.664061 , Test MSE : 1.453425 , Test MAE : 0.778270 , Lr : 0.000250 , Time: 87.903463 s .
Epoch 88 : Train MSE : 0.917951, Train MAE : 0.679033 , Test MSE : 1.467155 , Test MAE : 0.787813 , Lr : 0.000250 , Time: 91.509713 s .
Epoch 89 : Train MSE : 0.910326, Train MAE : 0.679176 , Test MSE : 1.466830 , Test MAE : 0.786725 , Lr : 0.000250 , Time: 90.033981 s .
Epoch 90 : Train MSE : 0.903974, Train MAE : 0.676154 , Test MSE : 1.463362 , Test MAE : 0.787925 , Lr : 0.000250 , Time: 94.504059 s .
Epoch 91 : Train MSE : 0.895421, Train MAE : 0.673550 , Test MSE : 1.458733 , Test MAE : 0.787466 , Lr : 0.000250 , Time: 89.934435 s .
Epoch 92 : Train MSE : 0.891145, Train MAE : 0.671341 , Test MSE : 1.465432 , Test MAE : 0.781878 , Lr : 0.000250 , Time: 91.910273 s .
Epoch 93 : Train MSE : 0.891439, Train MAE : 0.669306 , Test MSE : 1.464619 , Test MAE : 0.782112 , Lr : 0.000250 , Time: 90.389595 s .
Epoch 94 : Train MSE : 0.891111, Train MAE : 0.668224 , Test MSE : 1.461644 , Test MAE : 0.784450 , Lr : 0.000250 , Time: 87.552697 s .
Epoch 95 : Train MSE : 0.891718, Train MAE : 0.671983 , Test MSE : 1.463669 , Test MAE : 0.781087 , Lr : 0.000250 , Time: 90.530581 s .
Epoch 96 : Train MSE : 0.875515, Train MAE : 0.662144 , Test MSE : 1.444803 , Test MAE : 0.775174 , Lr : 0.000250 , Time: 89.477669 s .
Epoch 97 : Train MSE : 0.872637, Train MAE : 0.664042 , Test MSE : 1.438977 , Test MAE : 0.778340 , Lr : 0.000250 , Time: 89.967843 s .
Epoch 98 : Train MSE : 0.937334, Train MAE : 0.702991 , Test MSE : 1.515555 , Test MAE : 0.817782 , Lr : 0.000250 , Time: 87.844548 s .
Epoch 99 : Train MSE : 0.884555, Train MAE : 0.672428 , Test MSE : 1.459397 , Test MAE : 0.786371 , Lr : 0.000250 , Time: 88.940792 s .
Dual_Attn_1_-1_8
(3.733717441558838, 1.2453062534332275)
Prepare Data : 10.103976 s
Epoch 0 : Train MSE : 2.540970, Train MAE : 1.073650 , Test MSE : 2.633330 , Test MAE : 1.070751 , Lr : 0.001000 , Time: 91.184316 s .
Epoch 1 : Train MSE : 2.424569, Train MAE : 1.037670 , Test MSE : 2.526317 , Test MAE : 1.039436 , Lr : 0.001000 , Time: 91.545700 s .
Epoch 2 : Train MSE : 2.314840, Train MAE : 1.055969 , Test MSE : 2.466286 , Test MAE : 1.067806 , Lr : 0.001000 , Time: 92.002714 s .
Epoch 3 : Train MSE : 2.187430, Train MAE : 1.015149 , Test MSE : 2.325918 , Test MAE : 1.028388 , Lr : 0.001000 , Time: 90.124502 s .
Epoch 4 : Train MSE : 2.050844, Train MAE : 0.967702 , Test MSE : 2.266222 , Test MAE : 0.993321 , Lr : 0.001000 , Time: 92.412707 s .
Epoch 5 : Train MSE : 2.069361, Train MAE : 0.977423 , Test MSE : 2.267272 , Test MAE : 1.001123 , Lr : 0.001000 , Time: 96.727967 s .
Epoch 6 : Train MSE : 1.957265, Train MAE : 0.949656 , Test MSE : 2.206710 , Test MAE : 0.984248 , Lr : 0.001000 , Time: 90.023158 s .
Epoch 7 : Train MSE : 1.998385, Train MAE : 0.973945 , Test MSE : 2.258145 , Test MAE : 1.008720 , Lr : 0.001000 , Time: 92.306925 s .
Epoch 8 : Train MSE : 1.989235, Train MAE : 0.976277 , Test MSE : 2.268683 , Test MAE : 1.015976 , Lr : 0.001000 , Time: 88.832603 s .
Epoch 9 : Train MSE : 1.837311, Train MAE : 0.931591 , Test MSE : 2.151416 , Test MAE : 0.978382 , Lr : 0.001000 , Time: 92.653749 s .
Epoch 10 : Train MSE : 1.889929, Train MAE : 0.978732 , Test MSE : 2.251850 , Test MAE : 1.039396 , Lr : 0.000500 , Time: 91.885891 s .
Epoch 11 : Train MSE : 1.691770, Train MAE : 0.893812 , Test MSE : 2.074253 , Test MAE : 0.957373 , Lr : 0.000500 , Time: 89.248215 s .
Epoch 12 : Train MSE : 1.783473, Train MAE : 0.953979 , Test MSE : 2.178228 , Test MAE : 1.018630 , Lr : 0.000500 , Time: 96.935896 s .
Epoch 13 : Train MSE : 1.733863, Train MAE : 0.923805 , Test MSE : 2.133616 , Test MAE : 0.990711 , Lr : 0.000500 , Time: 97.149607 s .
Epoch 14 : Train MSE : 1.638698, Train MAE : 0.888176 , Test MSE : 2.063461 , Test MAE : 0.962158 , Lr : 0.000500 , Time: 97.140635 s .
Epoch 15 : Train MSE : 1.637230, Train MAE : 0.885832 , Test MSE : 2.046288 , Test MAE : 0.955881 , Lr : 0.000500 , Time: 88.354979 s .
Epoch 16 : Train MSE : 1.645700, Train MAE : 0.894060 , Test MSE : 2.074723 , Test MAE : 0.969325 , Lr : 0.000500 , Time: 92.791778 s .
Epoch 17 : Train MSE : 1.587027, Train MAE : 0.868686 , Test MSE : 2.033208 , Test MAE : 0.944308 , Lr : 0.000500 , Time: 95.687590 s .
Epoch 18 : Train MSE : 1.595559, Train MAE : 0.881692 , Test MSE : 2.048619 , Test MAE : 0.958633 , Lr : 0.000500 , Time: 98.185262 s .
Epoch 19 : Train MSE : 1.563667, Train MAE : 0.868733 , Test MSE : 2.033094 , Test MAE : 0.953293 , Lr : 0.000500 , Time: 94.162056 s .
Epoch 20 : Train MSE : 1.577903, Train MAE : 0.881933 , Test MSE : 2.039320 , Test MAE : 0.961445 , Lr : 0.000500 , Time: 90.108022 s .
Epoch 21 : Train MSE : 1.556271, Train MAE : 0.867215 , Test MSE : 2.016793 , Test MAE : 0.948191 , Lr : 0.000500 , Time: 88.819088 s .
Epoch 22 : Train MSE : 1.521032, Train MAE : 0.861762 , Test MSE : 2.010704 , Test MAE : 0.951629 , Lr : 0.000500 , Time: 99.793929 s .
Epoch 23 : Train MSE : 1.510834, Train MAE : 0.859184 , Test MSE : 1.992810 , Test MAE : 0.946505 , Lr : 0.000500 , Time: 89.639472 s .
Epoch 24 : Train MSE : 1.513666, Train MAE : 0.859210 , Test MSE : 1.985480 , Test MAE : 0.946276 , Lr : 0.000500 , Time: 96.941790 s .
